St;PROVPUNKT_Original;St_Original;Datum;Temperatur;Siktdjup_m;Klorofyll_µg_l;pH;Alkalinitet_mekv_l;Syrgashalt_mg_l;Syrem;Nitrigen;fosfor;Övervakningsstation;Stationskoordina_N_X;Stationskoordina_E_Y;Year;year_month
430;;430;2009-05-05;13.1;;;7.8;0.54;8.7;83;730;33;Växjösjön utlopp;56.864825;14.802238;2009;May-09
430;;430;2009-07-17;19.5;;;7.6;0.57;5;55;840;53;Växjösjön utlopp;56.864825;14.802238;2009;Jul-09
430;;430;2009-08-03;20.2;;;7.6;0.6;7.5;83;780;28;Växjösjön utlopp;56.864825;14.802238;2009;Aug-09
430;;430;2009-10-06;10.7;;;7.5;0.54;8.6;78;630;45;Växjösjön utlopp;56.864825;14.802238;2009;Oct-09
430;430b Bergundakanal Växjösjöns utlopp (ny punkt)       ;430b;2009-10-06;10.5;;;7.6;0.54;8.9;79.8;600;38;Växjösjön utlopp;56.864825;14.802238;2009;Oct-09
469;469 Bergunda kanal Växjösjön                                   ;469;2009-05-07;12.4;0.9;12;;;;;;;Växjösjön mitt;56.867805;14.81321;2009;May-09
469;;469;2009-06-10;15.8;2.4;9;;;;;;;Växjösjön mitt;56.867805;14.81321;2009;Jun-09
469;;469;2009-07-15;20.5;1.2;28;;;;;;;Växjösjön mitt;56.867805;14.81321;2009;Jul-09
469;;469;2009-08-04;21.3;1.7;110;;;;;;;Växjösjön mitt;56.867805;14.81321;2009;Aug-09
469;;469;2009-09-02;18.2;1.5;29;;;;;;;Växjösjön mitt;56.867805;14.81321;2009;Sep-09
469;;469;2009-10-14;;2.1;19;;;;;;;Växjösjön mitt;56.867805;14.81321;2009;Oct-09
430;430 Bergundakanal Växjösjöns utlopp                            ;430;2010-01-21;0.4;;;7.4;0.52;11.3;78.1;650;21;Växjösjön utlopp;56.864825;14.802238;2010;Jan-10
430;;430;2010-03-15;;;;;;;;;;Växjösjön utlopp;56.864825;14.802238;2010;Mar-10
430;;430;2010-04-14;7.1;;;7.5;0.53;10.8;89.3;890;28;Växjösjön utlopp;56.864825;14.802238;2010;Apr-10
430;;430;2010-05-18;12.3;;;7.8;0.51;12.4;116;690;50;Växjösjön utlopp;56.864825;14.802238;2010;May-10
430;;430;2010-07-05;24.4;;;7.8;0.56;9;108;490;16;Växjösjön utlopp;56.864825;14.802238;2010;Jul-10
430;;430;2010-08-02;20.1;;;7.7;0.57;9.2;101;520;20;Växjösjön utlopp;56.864825;14.802238;2010;Aug-10
430;;430;2010-10-19;7.9;;;7.6;0.53;9.7;81.7;530;30;Växjösjön utlopp;56.864825;14.802238;2010;Oct-10
430B;430b Bergundakanal Växjösjöns utlopp;430B;2010-01-22;0.5;;;7.4;0.5;11.4;79;750;20;Växjösjön utlopp;56.864825;14.802238;2010;Jan-10
430B;ny punkt;430B;2010-03-15;0.9;;;7.2;0.52;11.3;79.2;780;12;Växjösjön utlopp;56.864825;14.802238;2010;Mar-10
430B;;430B;2010-05-18;13.4;;;7.8;0.52;13.4;128;670;41;Växjösjön utlopp;56.864825;14.802238;2010;May-10
430B;;430B;2010-07-05;24.9;;;7.6;0.55;8.3;100;520;29;Växjösjön utlopp;56.864825;14.802238;2010;Jul-10
430B;;430B;2010-08-02;19.9;;;7.6;0.58;9.2;101;670;30;Växjösjön utlopp;56.864825;14.802238;2010;Aug-10
430B;;430B;2010-10-19;7.6;;;7.6;0.52;9.3;77.8;530;29;Växjösjön utlopp;56.864825;14.802238;2010;Oct-10
469;469 Bergunda kanal Växjösjön                                   ;469;2010-05-26;14.2;1.9;11;;;;;;;Växjösjön mitt;56.867805;14.81321;2010;May-10
469;;469;2010-06-16;16.9;2;10;;;;;;;Växjösjön mitt;56.867805;14.81321;2010;Jun-10
469;;469;2010-07-07;21.8;4;2;;;;;;;Växjösjön mitt;56.867805;14.81321;2010;Jul-10
469;;469;2010-08-04;19.9;2.3;15;;;;;;;Växjösjön mitt;56.867805;14.81321;2010;Aug-10
469;;469;2010-09-08;15.8;1.9;25;;;;;;;Växjösjön mitt;56.867805;14.81321;2010;Sep-10
469;;469;2010-10-13;9.9;1.7;17;;;;;;;Växjösjön mitt;56.867805;14.81321;2010;Oct-10
430B;430b Bergundakanal Växjösjöns utlopp;430B;2011-01-18;0.9;;;7.3;0.54;11.9;83;780;18;Växjösjön utlopp;56.864825;14.802238;2011;Jan-11
430B;ny punkt;430B;2011-03-15;1.9;;;7;0.59;8.4;61;1200;27;Växjösjön utlopp;56.864825;14.802238;2011;Mar-11
